 A one-man musical phenomenon | Jacob Collier
 Love
 How books can open your mind | Lisa Bu
 Hendrik Poinar Bring back the woolly mammoth!
 Jackson Katz Violence against womenâ€”it's a men's issue
 Paola Antonelli Why I brought Pac-Man to MoMA
 The violin
 Alastair Parvin Architecture for the people by the people
 Judy MacDonald Johnston Prepare for a good end of life
 Embrace the Shake | Phil Hansen | TED Talks
 Peter Singer The why and how of effective altruism
 Sergey Brin Why Google Glass?
 Jay Silver Hack a banana
 Liu Bolin The invisible man
 Maria Bezaitis The surprising need for strangeness
 Why 30 is not the new 20 | Meg Jay
 How to escape education's death valley | Sir Ken Robinson
 Grit the power of passion and perseverance | Angela Lee Duckworth
 Our failing schools. Enough is enough! | Geoffrey Canada
 Pearl Arredondo My story
 Malcolm London "High School Training Ground"
 3 rules to spark learning | Ramsey Musallam
 Bill Gates Teachers need real feedback
 Learn to read Chinese ... with ease! | ShaoLan
 Timothy Bartik The economic case for preschool
 Every kid needs a champion | Rita Pierson
 Juan Enriquez Your online life
 The silent drama of photography | SebastiÃ£o Salgado
 Taylor Wilson My radical plan for small nuclear fission reactors
 Nilofer Merchant Got a meeting? Take a walk
 10 top time-saving tech tips | David Pogue
 Jennifer Healey If cars could talk
 Erik Brynjolfsson The key to growth? Race with the machines
 Robert Gordon The death of innovation
 John McWhorter Txtng is killing language. JK!!!
 My journey to yo-yo mastery | BLACK
 Andres Lozano Parkinson's
 In search for the man who broke my neck | Joshua Prager
 Thomas Insel Toward a new understanding of mental illness
 Rose George Let's talk crap. Seriously.
 Laura Snyder The Philosophical Breakfast Club
 Eric Dishman Health care should be a team sport
 What makes us feel good about our work? | Dan Ariely
 Keller Rinaudo A mini robot -- powered by your phone
 Freeman Hrabowski 4 pillars of college success in science
 Ken Jennings Watson
 The emergence of "4D printing" | Skylar Tibbits
 We the People
 A skateboard
 Kees Moeliker How a dead duck changed my life
 When you're making a deal
 Richard Turere My invention that made peace with lions
 Mark Shaw One very dry demo
 Jessica Green Good germs make healthy buildings
 Eric Whitacre Virtual Choir Live
 Francis Collins We need better drugs -- now
 My escape from North Korea | Hyeonseo Lee
 The mind behind Tesla
 Danny Hillis The Internet could crash. We need a Plan B
 Catarina Mota Play with smart materials
 Bono The good news on poverty (Yes
 Stewart Brand The dawn of de-extinction. Are you ready?
 David Anderson Your brain is more than a bag of chemicals
 The way we think about charity is dead wrong | Dan Pallotta
 "To This Day" ... for the bullied and beautiful | Shane Koyczan
 Kakenya Ntaiya A girl who demanded school
 A guerilla gardener in South Central LA | Ron Finley
 How we found the giant squid | Edith Widder
 How to green the world's deserts and reverse climate change | Allan Savory
 The art of asking | Amanda Palmer
 Jennifer Granholm A clean energy proposal -- race to the top!
 Sugata Mitra Build a School in the Cloud
 Bruno Maisonnier Dance
 Bruce Feiler Agile programming -- for your family
 Michael Dickinson How a fly flies
 Andreas Schleicher Use data to build better schools
 Afra Raymond Three myths about corruption
 Keith Chen Could your language affect your ability to save money?
 Miguel Nicolelis A monkey that controls a robot with its thoughts. No
 Young-ha Kim Be an artist
 The secret to desire in a long-term relationship | Esther Perel
 James B. Glattfelder Who controls the world?
 Edi Rama Take back your city with paint
 Erik Schlangen A "self-healing" asphalt
 Dare to Educate Afghan Girls | Shabana Basij-Rasikh | TED Talks
 Lee Cronin Print your own medicine
 Cesar Kuriyama One second every day
 Tyler DeWitt Hey science teachers -- make it fun
 Zahra' Langhi Why Libya's revolution didn't work -- and what might
 Fahad Al-Attiya A country with no water
 iO Tillett Wright Fifty shades of gay
 Mitch Resnick Let's teach kids to code
 Wingham Rowan A new kind of job market
 Why domestic violence victims don't leave | Leslie Morgan Steiner
 Steven Schwaitzberg A universal translator for surgeons
 Colin Powell Kids need structure
 Janine di Giovanni What I saw in the war
 How movies teach manhood | Colin Stokes
 Richard Weller Could the sun be good for your heart?
 Looks aren't everything. Believe me
 Ellen Jorgensen Biohacking -- you can do it
 Angela Patton A father-daughter dance ... in prison
 All it takes is 10 mindful minutes | Andy Puddicombe
 Boghuma Kabisen Titanji Ethical riddles in HIV research
 Jarrett J. Krosoczka How a boy became an artist
 Deep sea diving ... in a wheelchair | Sue Austin
 Jonathan Haidt How common threats can make common (political) ground
 Don Levy A cinematic journey through visual effects
 Hadyn Parry Re-engineering mosquitos to fight disease
 What fear can teach us | Karen Thompson Walker
 Israel and Iran A love story?
 Adam Davidson What we learned from teetering on the fiscal cliff
 Steven Addis A father-daughter bond
 Molly Crockett Beware neuro-bunk
 Robin Chase Excuse me
 Why bother leaving the house? | Ben Saunders
 Marcus Byrne The dance of the dung beetle
 A Saudi
 How to separate fact and fiction online | Markham Nolan
 Ellen 't Hoen Pool medical patents
 Lemon Andersen performs "Please don't take my Air Jordans"
 Nina Tandon Could tissue engineering mean personalized medicine?
 Jeff Smith Lessons in business ... from prison
 Ludwick Marishane A bath without water
 Bobby Ghosh Why global jihad is losing
 Paolo Cardini Forget multitasking
 Munir Virani Why I love vultures
 Janine Shepherd A broken body isn't a broken person
 Jonas Eliasson How to solve traffic jams
 Ernesto Sirolli Want to help someone? Shut up and listen!
 Teenaged boy wonders play bluegrass | The Sleepy Man Banjo Boys
 Amos Winter The cheap all-terrain wheelchair
 Your brain on video games | Daphne Bavelier
 David Binder The arts festival revolution
 Leah Buechley How to "sketch" with electronics
 Hannah Brencher Love letters to strangers
 Arunachalam Muruganantham How I started a sanitary napkin revolution!
 4 Lessons in Creativity | Julie Burstein | TED Talks
 Jeff Hancock 3 types of (digital) lies
 Georgette Mulheir The tragedy of orphanages
 Gary Greenberg The beautiful nano details of our world
 Jake Wood A new mission for veterans -- disaster relief
 Want to be happier? Stay in the moment | Matt Killingsworth
 Faith Jegede What I've learned from my autistic brothers
 Sanjay Pradhan How open data is changing international aid
 Rory Stewart Why democracy matters
 A cyber-magic card trick like no other | Marco Tempest
 Metal that breathes | Doris Kim Sung
 A 12-year-old app developer | Thomas Suarez
 Lemn Sissay A child of the state
 The strange politics of disgust | David Pizarro
 Pankaj Ghemawat Actually
 Ryan Merkley Online video -- annotated
 Heather Brooke My battle to expose government corruption
 Beau Lotto + Amy O'Toole Science is for everyone
 John Wilbanks Let's pool our medical data
 Eddie Obeng Smart failure for a fast-changing world
 Maurizio Seracini The secret lives of paintings
 Melissa Marshall Talk nerdy to me
 What's so funny about mental illness? | Ruby Wax
 John Maeda How art
 Tim Leberecht 3 ways to (usefully) lose control of your brand
 Thomas P. Campbell Weaving narratives in museum galleries
 Shimon Schocken The self-organizing computer course
 Gabriel Barcia-Colombo Capturing memories in video art
 Jason McCue Terrorism is a failed brand
 Robert Gupta Between music and medicine
 Vicki Arroyo Let's prepare for our new climate
 Mark Forsyth What's a snollygoster? A short lesson in political speak
 Your body language may shape who you are | Amy Cuddy
 Aris Venetikidis Making sense of maps
 Lisa Kristine Photos that bear witness to modern slavery
 Jonathan Trent Energy from floating algae pods
 Bahia Shehab A thousand times no
 Kent Larson Brilliant designs to fit more people in every city
 Beth Noveck Demand a more open-source government
 What doctors don't know about the drugs they prescribe | Ben Goldacre
 Clay Shirky How the Internet will (one day) transform government
 Andrew McAfee Are droids taking our jobs?
 Read Montague What we're learning from 5
 Rachel Botsman The currency of the new economy is trust
 Ed Gavagan A story about knots and surgeons
 Bandi Mbubi Demand a fair trade cell phone
 Andrew Blum What is the Internet
 Julian Treasure Why architects need to use their ears
 Sarah-Jayne Blakemore The mysterious workings of the adolescent brain
 Tristram Stuart The global food waste scandal
 A Choreographer's Creative Process in Real Time | Wayne McGregor | TED Talks
 Susan Solomon The promise of research with stem cells
 Leslie T. Chang The voices of China's workers
 Mental Health for All by Involving All | Vikram Patel | TED Talks
 Scott Fraser The problem with eyewitness testimony
 Antony Gormley Sculpted space
 Shyam Sankar The rise of human-computer cooperation
 Robert Neuwirth The power of the informal economy
 Before I die I want to... | Candy Chang
 Rob Legato The art of creating awe
 Timothy Prestero Design for people
 Strange answers to the psychopath test | Jon Ronson
 Caitria and Morgan O'Neill How to step up in the face of disaster
 Ivan Krastev Can democracy exist without trust?
 Creativity is a remix | Kirby Ferguson
 How we can eat our landscapes | Pam Warhurst
 Max Little A test for Parkinson's with a phone call
 Dare to disagree | Margaret Heffernan
 Fighting with non-violence | Scilla Elworthy
 The mad scientist of music | Mark Applebaum
 Becci Manson (Re)touching lives through photos
 Daphne Koller What we're learning from online education
 Stephen Ritz A teacher growing green in the South Bronx
 Michael Anti Behind the Great Firewall of China
 Michael Hansmeyer Building unimaginable shapes
 Imaging at a trillion frames per second | Ramesh Raskar
 Tracy Chevalier Finding the story inside the painting
 Malte Spitz Your phone company is watching
 James Stavridis How NATO's Supreme Commander thinks about global security
 Neil Harbisson I listen to color
 Matt Mills Image recognition that triggers augmented reality
 Baba Shiv Sometimes it's good to give up the driver's seat
 Jamie Drummond Let's crowd-source the world's goals
 Mina Bissell Experiments that point to a new understanding of cancer
 Jared Ficklin New ways to see music (with color! and fire!)
 Marc Goodman A vision of crimes in the future
 Chris Gerdes The future race car -- 150mph
 The game that can give you 10 extra years of life | Jane McGonigal
 What's your 200-year plan? | Raghava KK
 A young guitarist meets his hero | Usman Riaz and Preston Reed
 Cesar Harada A novel idea for cleaning up oil spills
 Alanna Shaikh How I'm preparing to get Alzheimer's
 Boaz Almog "levitates" a superconductor
 A tale of mental illness | Elyn Saks
 Don Tapscott Four principles for the open world
 How Arduino is open-sourcing imagination | Massimo Banzi
 Rives Reinventing the encyclopedia game
 E.O. Wilson Advice to young scientists
 Wolfgang Kessling How to air-condition outdoor spaces
 Marco Tempest The electric rise and fall of Nikola Tesla
 Ivan Oransky Are we over-medicalized?
 Peter Norvig The 100
 Lessons from death row inmates | David R. Dow
 LZ Granderson The myth of the gay agenda
 Archeology from space | Sarah Parcak
 Beeban Kidron The shared wonder of film
 Rebecca Onie What if our healthcare system kept us healthy?
 John Hockenberry We are all designers
 John Hodgman Design
 Damian Palin Mining minerals from seawater
 Why is 'x' the unknown? | Terry Moore
 What we didn't know about male anatomy | Diane Kelly
 Juan Enriquez Will our kids be a different species?
 Dancing with light | Quixotic Fusion
 Sebastian Deterding What your designs say about you
 Dalia Mogahed The attitudes that sparked Arab Spring
 William Noel Revealing the lost codex of Archimedes
 Reggie Watts disorients you in the most entertaining way
 Shereen El-Feki How to fight an epidemic of bad laws
 Philippe Petit The journey across the high wire
 Religions and babies | Hans Rosling
 Nathan Wolfe What's left to explore?
 One year of turning the world inside out | JR
 Carl Schoonover How to look inside the brain
 How to build your creative confidence | David Kelley
 Jean-Baptiste Michel The mathematics of history
 The optimism bias | Tali Sharot
 Renny Gleeson 404
 Feats of memory anyone can do | Joshua Foer
 Karen Bass Unseen footage
 JP Rangaswami Information is food
 Michael Tilson Thomas Music and emotion through time
 Rory Sutherland Perspective is everything
 Gary Kovacs Tracking the trackers
 Reuben Margolin Sculpting waves in wood and time
 Amory Lovins A 40-year plan for energy
 Liz Diller A giant bubble for debate
 Nancy Lublin Texting that saves lives
 Eduardo Paes The 4 commandments of cities
 The surprising science of happiness | Dan Gilbert
 Our buggy moral code | Dan Ariely
 How to buy happiness | Michael Norton
 Why is our universe fine-tuned for life? | Brian Greene
 Christina Warinner Tracking ancient diseases using ... plaque
 Laura Carstensen Older people are happier
 Taryn Simon The stories behind the bloodlines
 Drew Curtis How I beat a patent troll
 How do we heal medicine? | Atul Gawande
 Abigail Washburn Building US-China relations ... by banjo
 Tal Golesworthy How I repaired my own heart
 Let's put birth control back on the agenda | Melinda Gates
 Moral behavior in animals | Frans de Waal
 Half a million secrets | Frank Warren
 Lucy McRae How can technology transform the human body?
 Jack Choi On the virtual dissection table
 The hilarious art of book design | Chip Kidd
 Connected
 A Taste of TED2012
 Marco Tempest A magical tale (with augmented reality)
 Ayah Bdeir Building blocks that blink
 Leymah Gbowee Unlock the intelligence
 Regina Dugan From mach-20 glider to hummingbird drone
 Donald Sadoway The missing link to renewable energy
 Billy Collins Everyday moments
 Yup
 Andrew Stanton The clues to a great story
 Noel Bairey Merz The single biggest health threat women face
 T. Boone Pickens Let's transform energy -- with natural gas
 Listening to shame | BrenÃ© Brown
 The $8 billion iPod | Rob Reid
 Jonathan Haidt Religion
 A TED speaker's worst nightmare | Colin Robertson
 Jennifer Pahlka Coding a better government
 James Hansen Why I must speak out about climate change
 We need to talk about an injustice | Bryan Stevenson
 The power of introverts | Susan Cain
 Robots that fly ... and cooperate | Vijay Kumar
 Paul Gilding The Earth is full
 Abundance is our future | Peter Diamandis
 Paul Snelgrove A census of the ocean
 Why videos go viral | Kevin Allocca
 Tan Le My immigration story
 Shlomo Benartzi Saving for tomorrow
 Shilo Shiv Suleman Using tech to enable dreaming
 Chris Bliss Comedy is translation
 Neil MacGregor 2600 years of history in one object
 Paul Conneally Digital humanitarianism
 How do you save a shark you know nothing about? | Simon Berrow
 Lucien Engelen Crowdsource your health
 What you don't know about marriage | Jenna McCarthy
 Tyrone Hayes + Penelope Jagessar Chaffer The toxic baby?
 Impossible photography | Erik Johansson
 Jack Horner Shape-shifting dinosaurs
 Sheikha Al Mayassa Globalizing the local
 The moral dangers of non-lethal weapons | Stephen Coleman
 Neil Burgess How your brain tells you where you are
 Danny Hillis Back to the future (of 1994)
 Erica Frenkel The universal anesthesia machine
 The happy secret to better work | Shawn Achor
 Bill Doyle Treating cancer with electric fields
 Peter van Uhm Why I chose a gun
 Gayle Tzemach Lemmon Women entrepreneurs
 Ariel Garten Know thyself
 Brian Goldman Doctors make mistakes. Can we talk about that?
 Diana Nyad Extreme swimming with the world's most dangerous jellyfish
 Lisa Harouni A primer on 3D printing
 Sheena Iyengar How to make choosing easier
 Defend our freedom to share (or why SOPA is a bad idea) | Clay Shirky
 Mikko Hypponen Three types of online attack
 Atheism 2.0 | Alain de Botton
 Sonaar Luthra Meet the Water Canary
 Morley sings "Women of Hope"
 Drew Berry Animations of unseeable biology
 Jonas Gahr StÃ¸re In defense of dialogue
 Award-winning teen-age science in action
 Sebastian Wernicke 1000 TEDTalks
 Paddy Ashdown The global power shift
 Jane Fonda Life's third act
 How healthy living nearly killed me | A.J. Jacobs
 Alberto Cairo There are no scraps of men
 Karen Tse How to stop torture
 Daniel Goldstein The battle between your present and future self
 Sheila Nirenberg A prosthetic eye to treat blindness
 The quest to understand consciousness | Antonio Damasio
 Ramona Pierson An unexpected place of healing
 Homaro Cantu + Ben Roche Cooking as alchemy
 Pavan Sukhdev Put a value on nature!
 Quyen Nguyen Color-coded surgery
 Monika Bulaj The hidden light of Afghanistan
 Stefon Harris There are no mistakes on the bandstand
 Yoav Medan Ultrasound surgery -- healing without cuts
 Cheryl Hayashi The magnificence of spider silk
 Massive-scale online collaboration | Luis von Ahn
 Kathryn Schulz Don't regret regret
 Charles Limb Building the musical muscle
 Annie Murphy Paul What we learn before we're born
 Damon Horowitz Philosophy in prison
 Chris Anderson How YouTube is driving innovation
 A garden in my apartment | Britta Riley
 The technology of storytelling | Joe Sabia
 PÃ©ter Fankhauser Meet Rezero
 Phil Plait How to defend Earth from asteroids
 Robin Ince Science versus wonder?
 Cynthia Kenyon Experiments that hint of longer lives
 Fly with the Jetman | Yves Rossy
 Conception to birth -- visualized | Alexander Tsiaras
 The shared experience of absurdity | Charlie Todd
 Allan Jones A map of the brain
 Ben Kacyra Ancient wonders captured in 3D
 Aparna Rao High-tech art (with a sense of humor)
 Martin Hanczyc The line between life and not-life
 Marco Tempest The augmented reality of techno-magic
 Daniel Wolpert The real reason for brains
 Anna Mracek Dietrich A plane you can drive
 Paul Zak Trust
 Hasan Elahi FBI
 BÃ©atrice Coron Stories cut from paper
 Jay Bradner Open-source cancer research
 Malcolm Gladwell The strange tale of the Norden bombsight
 How economic inequality harms societies | Richard Wilkinson
 Nathalie Miebach Art made of storms
 Todd Kuiken A prosthetic arm that "feels"
 Guy-Philippe Goldstein How cyberattacks threaten real-world peace
 Justin Hall-Tipping Freeing energy from the grid
 Bunker Roy Learning from a barefoot movement
 Jae Rhim Lee My mushroom burial suit
 How to spot a liar | Pamela Meyer
 Ian Ritchie The day I turned down Tim Berners-Lee
 Richard Seymour How beauty feels
 Alison Gopnik What do babies think?
 Charles Hazlewood Trusting the ensemble
 Mike Biddle We can recycle plastic
 Less stuff
 Finding life we can't imagine | Christoph Adami
 Yang Lan The generation that's remaking China
 Danielle de Niese A flirtatious aria
 Ben Goldacre Battling Bad Science
 Jarreth Merz Filming democracy in Ghana
 Geoff Mulgan A short intro to the Studio School
 Sunni Brown Doodlers
 Abraham Verghese A doctor's touch
 Elizabeth Murchison Fighting a contagious cancer
 Amy Lockwood Selling condoms in the Congo
 What we learned from 5 million books
 Niall Ferguson The 6 killer apps of prosperity
 Lauren Zalaznick The conscience of television
 Richard Resnick Welcome to the genomic revolution
 Kate Hartman The art of wearable communication
 Misha Glenny Hire the hackers!
 Yasheng Huang Does democracy stifle economic growth?
 Shake up your story | Raghava KK
 Lee Cronin Making matter come alive
 Sarah Kaminsky My father the forger
 Edward Tenner Unintended consequences
 Joan Halifax Compassion and the true meaning of empathy
 Skylar Tibbits Can we make things that make themselves?
 Julia Bacha Pay attention to nonviolence
 Svante PÃ¤Ã¤bo DNA clues to our inner neanderthal
 Beware conflicts of interest | Dan Ariely
 The magic of truth and lies (and iPods) | Marco Tempest
 Finding planets around other stars | Lucianne Walkowicz
 Jeremy Gilley One day of peace
 Dyan deNapoli The great penguin rescue
 Alex Steffen The shareable future of cities
 Eve Ensler Suddenly
 The demise of guys? | Philip Zimbardo
 Jessica Green Are we filtering the wrong microbes?
 Mark Pagel How language transformed humanity
 Wireless data from every light bulb | Harald Haas
 Adam Ostrow After your final status update
 5 ways to listen better | Julian Treasure
 Josette Sheeran Ending hunger now
 Paul Bloom The origins of pleasure
 Geoffrey West The surprising math of cities and corporations
 Rory Stewart Time to end the war in Afghanistan
 A robot that flies like a bird | Markus Fischer
 How algorithms shape our world | Kevin Slavin
 Thandie Newton Embracing otherness
 Mikko Hypponen Fighting viruses
 Nadia Al-Sakkaf See Yemen through my eyes
 Tim Harford Trial
 Maajid Nawaz A global culture to fight extremism
 Rebecca MacKinnon Let's take back the Internet!
 Nina Tandon Caring for engineered tissue
 Simon Lewis Don't take consciousness for granted
 Jonathan Drori The beautiful tricks of flowers
 Nathan Myhrvold Cut your food in half
 Try something new for 30 days | Matt Cutts
 Robert Hammond Building a park in the sky
 Dave deBronkart Meet e-Patient Dave
 Rajesh Rao Computing a Rosetta Stone for the Indus script
 A civil response to violence (with English subtitles) | Emiliano Salinas
 Joshua Walters On being just crazy enough
 Honor Harger A history of the universe in sound
 Jok Church A circle of caring
 Different ways of knowing | Daniel Tammet
 Bill Ford A future beyond traffic gridlock
 Onyx Ashanti This is beatjazz
 Maya Beiser(s) and her cello(s)
 Camille Seaman Haunting photos of polar ice
 Steve Keil A manifesto for play
 Shea Hembrey How I became 100 artists
 Daniel Kraft Medicine's future? There's an app for that
 JD Schramm Break the silence for suicide survivors
 Alice Dreger Is anatomy destiny?
 Paul Romer The world's first charter city?
 Janet Echelman Taking imagination seriously
 Building a dinosaur from a chicken | Jack Horner
 Damon Horowitz calls for a "moral operating system"
 Jessi Arrington Wearing nothing new
 Aaron O'Connell Making sense of a visible quantum object
 Stefan Sagmeister 7 rules for making more happiness
 Dennis Hong Making a car for blind drivers
 Robert Gupta and Joshua Roman duet on "Passacaglia"
 Mustafa Akyol Faith versus tradition in Islam
 Shirin Neshat Art in exile
 Bruce Aylward How we'll stop polio for good
 Aaron Koblin Artfully visualizing our humanity
 How to tie your shoes | Terry Moore
 Edith Widder The weird and wonderful world of bioluminescence
 Elliot Krane The mystery of chronic pain
 Ed Boyden A light switch for neurons
 Thomas Heatherwick Building the Seed Cathedral
 Leonard Susskind My friend Richard Feynman
 Amit Sood Building a museum of museums on the web
 Tales of ice-bound wonderlands | Paul Nicklen
 The hidden power of smiling | Ron Gutman
 Fiorenzo Omenetto Silk
 The hidden beauty of pollination | Louie Schwartzberg
 Sean Carroll Distant time and the hint of a multiverse
 Suzanne Lee Grow your own clothes
 Carlo Ratti Architecture that senses and responds
 9/11 healing The mothers who found forgiveness
 Beware online "filter bubbles" | Eli Pariser
 Turning trash into toys for learning | Arvind Gupta
 Mike Matas A next-generation digital book
 Bruce Schneier The security mirage
 Angela Belcher Using nature to grow batteries
 John Hunter Teaching with the World Peace Game
 Anil Ananthaswamy What it takes to do extreme astrophysics
 Harvey Fineberg Are we ready for neo-evolution?
 On being wrong | Kathryn Schulz
 Jackson Browne "If I Could Be Anywhere"
 3 things I learned while my plane crashed | Ric Elias
 Sam Richards A radical experiment in empathy
 Susan Lim Transplant cells
 Marcin Jakubowski Open-sourced blueprints for civilization
 Roger Ebert Remaking my voice
 Dave Meslin The antidote to apathy
 The history of our world in 18 minutes | David Christian
 Caroline Casey Looking past limits
 Mick Ebeling The invention that unlocked a locked-in artist
 Stanley McChrystal Listen
 Chade-Meng Tan Everyday compassion at Google
 Morgan Spurlock The greatest TED Talk ever sold
 Ai Weiwei detained. Here is his TED film
 AnnMarie Thomas Hands-on science with squishy circuits
 A virtual choir 2
 Google's driverless car | Sebastian Thrun
 Patricia Ryan Don't insist on English!
 The genius puppetry behind War Horse | Handspring Puppet Company
 Ralph Langner Cracking Stuxnet
 Claron McFadden Singing the primal mystery
 Eythor Bender demos human exoskeletons
 Paul Root Wolpe It's time to question bio-engineering
 Isabel Behncke Evolution's gift of play
 The magic washing machine | Hans Rosling
 If I should have a daughter ... | Sarah Kay
 Rogier van der Heide Why light needs darkness
 Mark Bezos A life lesson from a volunteer firefighter
 Danny Hillis Understanding cancer through proteomics
 The Ahn Trio A modern take on piano
 The sound the universe makes | Janna Levin
 David Brooks The social animal
 Rob Harmon How the market can keep streams flowing
 Deb Roy The birth of a word
 Let's use video to reinvent education | Salman Khan
 Printing a human kidney | Anthony Atala
 Courtney Martin Reinventing feminism
 How state budgets are breaking US schools | Bill Gates
 Wael Ghonim Inside the Egyptian revolution
 Use art to turn the world inside out | JR
 Wadah Khanfar A historic moment in the Arab world
 Elizabeth Lindsey Curating humanity's heritage
 Iain Hutchison Saving faces
 Noreena Hertz How to use experts -- and when not to
 Madeleine Albright On being a woman and a diplomat
 Lisa Gansky The future of business is the "mesh"
 Jacqueline Novogratz Inspiring a life of immersion
 The linguistic genius of babies | Patricia Kuhl
 Krista Tippett Reconnecting with compassion
 World champion whistler | Geert Chatrou
 Michael Pawlyn Using nature's genius in architecture
 Mother and daughter doctor-heroes Hawa Abdi + Deqo Mohamed
 The Rise of Personal Robots | Cynthia Breazeal | TED Talks
 How to make work-life balance work | Nigel Marsh
 Are we born to run? | Christopher McDougall
 Suheir Hammad Poems of war
 Johanna Blakley Social media and the end of gender
 Dale Dougherty We are makers
 Kate Orff Reviving New York's rivers -- with oysters!
 Bruce Feiler The council of dads
 Liza Donnelly Drawing upon humor for change
 Thomas Goetz It's time to redesign medical data
 Understanding the rise of China | Martin Jacques
 Heather Knight Silicon-based comedy
 Anders Ynnerman Visualizing the medical data explosion
 The economic injustice of plastic | Van Jones
 Charity Tillemann-Dick After a lung transplant
 Naomi Klein Addicted to risk
 Ali Carr-Chellman Gaming to re-engage boys in learning
 Take "the Other" to lunch | Elizabeth Lesser
 Thomas Thwaites How I built a toaster -- from scratch
 Amber Case We are all cyborgs now
 Jody Williams A realistic vision for world peace
 Neil Pasricha The 3 A's of awesome
 Deborah Rhodes A tool that finds 3x more breast tumors
 Charles Limb Your brain on improv
 Lesley Hazleton A "tourist" reads the Koran
 How to succeed? Get more sleep | Arianna Huffington
 Barry Schwartz Using our practical wisdom
 The power of vulnerability | BrenÃ© Brown
 Majora Carter 3 stories of local eco-entrepreneurship
 Why we have too few women leaders | Sheryl Sandberg
 Beverly + Dereck Joubert Life lessons from big cats
 Rachel Botsman The case for collaborative consumption
 Rufus Griscom and Alisa Volkman It's time to explode 4 taboos of parenting
 Diana Laufenberg How to learn? From mistakes
 Hanna Rosin New data on the rise of women
 Kiran Bedi How I remade one of India's toughest prisons
 A call to men | Tony Porter
 Halla Tomasdottir A feminine response to Iceland's financial crash
 Arthur Potts Dawson A vision for sustainable restaurants
 Bart Weetjens How I taught rats to sniff out land mines
 The walk from "no" to "yes" | William Ury
 Marcel Dicke Why not eat insects?
 Birke Baehr What's wrong with our food system
 Dan Phillips Creative houses from reclaimed stuff
 Why work doesn't happen at work | Jason Fried
 Zainab Salbi Women
 Kim Gorgens Protecting the brain against concussion
 Kristina Gjerde Making law on the high seas
 John Hardy My green school dream
 Shimon Schocken's rides of hope
 A Darwinian theory of beauty | Denis Dutton
 Conrad Wolfram Teaching kids real math with computers
 Eric Berlow Simplifying complexity
 Auret van Heerden Making global labor fair
 Aaron Huey America's native prisoners of war
 Stefan Wolff The path to ending ethnic conflicts
 Emily Pilloton Teaching design for change
 Andrew Bird's one-man orchestra of the imagination
 Gero Miesenboeck reengineers a brain
 Greg Stone Saving the ocean one island at a time
 David Bismark E-voting without fraud
 Tom Chatfield 7 ways video games engage the brain
 Miwa Matrayek's glorious visions
 Shimon Steinberg Natural pest control ... using bugs!
 Barton Seaver Sustainable seafood? Let's get smart
 R.A. Mashelkar Breakthrough designs for ultra-low-cost products
 Joseph Nye on global power shifts
 "(Nothing But) Flowers" | David Byrne
 Patrick Chappatte The power of cartoons
 Dianna Cohen Tough truths about plastic pollution
 Heribert Watzke The brain in your gut
 Jessica Jackley Poverty
 Ze Frank's web playroom
 Natalie Jeremijenko Let's teach fish to text! and other outlandish ideas
 Peter Haas Haiti's disaster of engineering
 Melinda French Gates What nonprofits can learn from Coca-Cola
 Stefano Mancuso The roots of plant intelligence
 Stacey Kramer The best gift I ever survived
 Hans Rosling The good news of the decade?
 Barbara Block Tagging tuna in the deep ocean
 Tim Jackson An economic reality check
 Eben Bayer Are mushrooms the new plastic?
 Mechai Viravaidya How Mr. Condom made Thailand a better place
 Inge Missmahl brings peace to the minds of Afghanistan
 Sebastian Seung I am my connectome
 Gary Wolf The quantified self
 Julian Treasure Shh! Sound health in 8 steps
 Fabian Hemmert The shape-shifting future of the mobile phone
 Mitchell Besser Mothers helping mothers fight HIV
 Annie Lennox Why I am an HIV/AIDS activist
 Where good ideas come from | Steven Johnson
 Christien Meindertsma How pig parts make the world turn
 Caroline Phillips Hurdy-gurdy for beginners
 Nicholas Christakis How social networks predict epidemics
 Our natural sleep cycle | Jessa Gamble
 Chris Anderson How YouTube is driving innovation
 Rob Dunbar The threat of ocean acidification
 Ben Cameron The true power of the performing arts
 Carne Ross An independent diplomat
 Alwar Balasubramaniam Art of substance and absence
 New experiments in self-teaching | Sugata Mitra
 Rachel Sussman The world's oldest living things
 Keep your goals to yourself | Derek Sivers
 His Holiness the Karmapa The technology of the heart
 Let the environment guide our development | Johan Rockstrom
 Nic Marks The Happy Planet Index
 Dan Cobley What physics taught me about marketing
 Lisa Margonelli The political chemistry of oil
 Jim Toomey Learning from Sherman the shark
 Lee Hotz Inside an Antarctic time machine
 The beauty of data visualization | David McCandless
 Seth Priebatsch Building the game layer on top of the world
 Did you hear the one about the Iranian-American? | Maz Jobrani
 Jamil Abu-Wardeh The Axis of Evil Middle East Comedy Tour
 Peter Molyneux demos Milo
 Sheryl WuDunn Our century's greatest injustice
 Jason Clay How big brands can help save biodiversity
 Lewis Pugh's mind-shifting Mt. Everest swim
 Laurie Santos How monkeys mirror human irrationality
 John Delaney Wiring an interactive ocean
 Sheena Iyengar The art of choosing
 Kevin Stone The bio-future of joint replacement
 A headset that reads your brainwaves | Tan Le
 Dimitar Sasselov How we found hundreds of Earth-like planets
 Naif Al-Mutawa Superheroes inspired by Islam
 Julian Assange Why the world needs WikiLeaks
 Elif Shafak The politics of fiction
 Ethan Zuckerman How to listen to global voices
 When ideas have sex | Matt Ridley
